clique,version,title,performer,id
39,0,My Way of Life,Dave Dudley,P_204171
40,0,Notturno,Ennio Morricone,P_681118
41,0,Your Very Eyes,Jeffrey Foskett,P_681353
42,0,Ira Incensus,Rotting Christ,P_681421
43,0,Whispers in the Dark,Mumford & Sons,P_681652
44,0,The Way You Wear Your Head,Nada Surf,P_680574
45,0,Cryin' Over You,James Intveld,P_338535
46,0,The British Road,North Sea Radio Orchestra,P_488155
47,0,Last Stand in Open Country,Farm Dogs,P_340439
48,0,Age of Pamparius,Nashville Pussy,P_53591
49,0,Freeze Up,Batching It,P_262483
50,0,Be My Day,The Cats,P_59113
51,0,Ballad of the Band,Felt,P_57669
52,0,Boy Meets Girl,World Order,P_324048
53,0,I Don't Want to Live Without You,Foreigner,P_752633
54,0,"For Michael Collins, Jeffrey and Me",Jethro Tull,P_752269
55,0,Over Again,Piano Tribute Players,P_683417
56,0,Kaamoskuu,Eero Sinikannel,P_786740
57,0,The Experience of Swimming,Japan,P_786912
58,0,Teen Titans Theme,Radkey,P_786310
59,0,When Time Runs Out,Running Wild,P_736256
60,0,Firebreather,Running Wild,P_736260
61,0,We're in This Together,My Ticket Home,P_736367
62,0,Losing My Mind,Piano Dreamers,P_737088
63,0,Don't Let Me Leave You Behind,Wayne Newton,P_632598
64,0,River,The Katinas,P_693960
65,0,Dead Souls,William S. Burroughs,P_772666
66,0,If You Hold a Stone (Marinheiro Só),Alexia Bomtempo,P_628335
67,0,I'd Rather Cry Over You (Than Smile at Somebody Else),Paul Whiteman and His Orchestra,P_314818
68,0,Purely by Coincidence,Jackie Trent,P_741052
69,0,Doctor Love,The Pearls [GB],P_601760
70,0,Missing You,"George C. Wallace, Jr",P_317503
71,0,Living Above Your Head,The Walker Brothers,P_321797
72,0,Night Breeze,Ronnie Laws,P_694674
73,0,I Don't Think About You,Michael Hammers,P_695033
74,0,Do You Love as Good as You Look,Bellamy Brothers,P_699500
75,0,Ethiopia,"Terri Lyne Carrington, Adam Rogers, Jimmy Haslip, Greg Osby",P_486405
76,0,There's a Moon Out Tonight,The Capris [2],P_360391
77,0,Floyd the Barber,Wasted Youth,P_361626
78,0,Silver Spurs (On the Golden Stairs),Gene Autry,P_440532
79,0,A Little Bit of Everything,Home Free,P_441535
80,0,Don't Stop the Music,Supermax,P_436543
81,0,Someone's Waiting for You,Regine Velasquez-Alcasid,P_510460
82,0,Heksedans,Jan Eggum,P_519102
83,0,I Live for Your Love,Lani Misalucha,P_515613
84,0,Call the Doctor,J.J. Cale,P_395126
85,0,I'm Gonna Keep What I Got,The Crawdaddys,P_374773
86,0,One More Time,Nick Curran and The Nitelifes,P_351571
87,0,Concrete Angel,Jackie Evancho,P_494246
88,0,"Guitars, Cadillacs",Dwight Yoakam,P_256898
89,0,11th Hour,The Interrupters,P_367057
90,0,Cocktails,Rancid,P_367027
91,0,Cleanhead Blues,Eddie Vinson,P_442195
92,0,Saturday's Child,The Square Set,P_444773
93,0,Round and Around,Beverley Knight,P_443173
94,0,The Bird Has Flown,Nick Simper & Nasty Habits,P_306462
95,0,Carrie,Peter Kent [DE],P_790736
96,0,Hollywood Hills,Robin [FI2],P_782084
97,0,The Heart You Break May Be Your Own,Patsy Cline,P_780636
98,0,I Just Want My Baby Back,Henry Smith,P_781224
99,0,Coming Down,The United States of America,P_391628
100,0,Please Forgive My Heart,Bahamas,P_391737
101,0,Jah Live,Bob Marley & The Wailers [1974-...],P_392131
102,0,I Really Don't Think So,K-Otic,P_719426
103,0,Killer Bee,Anouk,P_719066
104,0,"Vaiti, aivan hiljaa",Pate Mustajärvi,P_719149
105,0,Teenage Riot,David Kitt,P_173245
106,0,Don't Look Back,Teenage Fanclub,P_173265
107,0,Hunter,Dido,P_616814
108,0,E allora dai!,Ariones,P_621916
109,0,Not in That Way,Tufts Beelzebubs,P_653321
110,0,Music Talk,Stevie Wonder,P_628472
111,0,It Takes a Thief,Chaquito,P_624158
112,0,Smoke Dreams,k.d. lang,P_713334
113,0,No I've Never,The Boone Girls,P_640011
114,0,Fully Alive,Vitamin String Quartet,P_697070
115,0,Easy as Life,Tina Turner featuring Angélique Kidjo,P_692693
116,0,No Reason Why,Pennywise,P_333756
117,0,Espérame,Los Doltons,P_578637
118,0,Come un sigillo,Alice + Paolo Fresu,P_578642
119,0,Io sono un uomo libero,Adriano Celentano,P_578647
120,0,Under the Bridge,Red Hot Chili Peppers,P_3964
120,1,Under the Bridge,The Flying Pickets,P_199536
120,2,Under the Bridge,Frank Bennett,P_434632
120,3,Under the Bridge,All Saints [GB],P_3965
120,4,Under the Bridge,The King,P_6363
120,5,Under the Bridge,Scala,P_10476
120,6,Under the Bridge,Hot Wire,P_232720
120,7,Under the Bridge,Club for Five,P_244912
120,8,Under the Bridge,Straight No Chaser,P_128395
120,9,Under the Bridge,Female Affairs,P_298664
120,10,Under the Bridge,Vitamin String Quartet,P_716588
120,11,Under the Bridge,The Stanley Clarke Trio,P_579858
120,12,Under the Bridge,Igor Presnyakov,P_716373
121,0,Goin' Back,Brian Kennedy,P_467176
122,0,I'm Just Wild About Harry,Vaughn De Leath,P_265037
123,0,Hush,Little Bob Story,P_121361
124,0,There's a Lull in My Life,François Chassagnite,P_792013
125,0,Take Me to Church,Hozier,P_364177
125,1,Take Me to Church,Sound Off a cappella,P_439166
125,2,Take Me to Church,Megan Davies & Matt Wright,P_686444
125,3,Take Me to Church,Kiesza,P_439167
125,4,Take Me to Church,Savannah Outen,P_549384
125,5,Take Me to Church,Sofia Karlberg,P_586738
125,6,Take Me to Church,Matt McAndrew,P_588455
125,7,Take Me to Church,Sam Tsui,P_486191
125,8,Take Me to Church,Jasmine Thompson,P_385969
125,9,Take Me to Church,Caitlin Hart,P_559614
125,10,Take Me to Church,Piano Tribute Players,P_719384
125,11,Take Me to Church,Vitamin String Quartet,P_728357
125,12,Take Me to Church,Simply Three,P_593296
126,0,I Am a Rock,Paul Simon,P_8339
126,1,I Am a Rock,Simon and Garfunkel,P_27514
126,2,I Am a Rock,The Hollies,P_8340
126,3,I Am a Rock,The Grass Roots,P_127072
126,4,I Am a Rock,John E. Sharpe & The Squires,P_383019
126,5,I Am a Rock,Bobby Goldsboro,P_93199
126,6,I Am a Rock,Tam White,P_477995
126,7,I Am a Rock,Marie Celeste,P_62003
126,8,I Am a Rock,Gracie Rivera,P_755334
126,9,I Am a Rock,The Church,P_395696
126,10,I Am a Rock,The Hollyridge Strings,P_452932
126,11,I Am a Rock,101 Strings,P_439291
126,12,I Am a Rock,CMH Studio Artists,P_716597
127,0,Where Is My Mind?,Nada Surf,P_12545
127,1,Where Is My Mind,Boy Division,P_74575
127,2,Where Is My Mind,Camden vs .Calibre,P_12548
127,3,Where Is My Mind,Placebo,P_12547
127,4,Where Is My Mind?,Storm Large,P_415148
127,5,Where Is My Mind,Yoav,P_86054
127,6,Where Is My Mind,Emmy the Great,P_141608
127,7,Where Is My Mind,Alice Donut,P_118879
127,8,Where Is My Mind,Ariane Moffatt,P_221273
127,9,Where Is My Mind,Lise,P_209812
127,10,Where Is My Mind?,Vitamin String Quartet,P_336027
127,11,Where Is My Mind?,Mike Baiardi,P_141619
127,12,Where Is My Mind,Maxence Cyrin,P_158367
128,0,I Can't Help It,Michael Jackson,P_6163
128,1,I Can't Help It,Will Downing,P_309350
128,2,I Can't Help It,Janis Siegel,P_38219
128,3,Can't Help It,Viktoria Tolstoy,P_429496
128,4,I Can't Help It,Deco Fiori,P_449530
128,5,I Can't Help It,The Moleskins,P_567869
128,6,I Can't Help It,Gemma Abrié,P_736954
128,7,I Can't Help It,Esperanza Spalding,P_675997
128,8,I Can't Help It,Theo Croker featuring Dee Dee Bridgewater,P_551104
128,9,I Can't Help It,Malene Mortensen,P_745932
128,10,I Can't Help It,Grover Washington Jr.,P_174340
128,11,I Can't Help It,Joe Pass,P_766713
128,12,I Can't Help It,Brandon Fields,P_646354
129,0,Walk This Way,Aerosmith,P_6753
129,1,Walk This Way,Run-D.M.C.,P_10964
129,2,Walk This Way,Hayseed Dixie,P_26283
129,3,Walk This Way,Macy Gray,P_74009
129,4,Walk This Way,Madrock,P_435582
129,5,Walk This Way,Cornbread Red,P_510572
129,6,Walk This Way,Sheliyah,P_396461
129,7,Walk This Way,Sugababes Vs Girls Aloud,P_76416
129,8,Walk This Way,Cris Mantello & Jolly Rogers,P_263006
129,9,Walk This Way,Jazzkantine,P_714663
129,10,Walk This Way,Grassmasters,P_510555
129,11,Walk This Way,Squeeze-bot,P_670017
129,12,Walk This Way,Warren Hill,P_785564
130,0,My Cup Runneth Over,Ed Ames,P_118905
130,1,My Cup Runneth Over,James Darren,P_118912
130,2,My Cup Runneth Over,The Lennon Sisters,P_398350
130,3,My Cup Runneth Over,Bobby Goldsboro,P_383953
130,4,My Cup Runneth Over,The Lettermen,P_118921
130,5,My Cup Runneth Over,Margaret Whiting,P_532415
130,6,My Cup Runneth Over,Al Martino,P_286724
130,7,My Cup Runneth Over,Des O'Connor,P_453046
130,8,My Cup Runneth Over,Kamahl,P_519804
130,9,My Cup Runneth Over,Rita Graham,P_664717
130,10,My Cup Runneth Over,Floyd Cramer,P_416982
130,11,My Cup Runneth Over,The 50 Guitars of Tommy Garrett,P_640897
130,12,My Cup Runneth Over,Ronnie Aldrich and His Two Pianos with the London Festival Orchestra,P_764369
131,0,Poker Face,Lady Gaga,P_125846
131,1,Poker Face,You Me at Six,P_429321
131,2,Poker Face,D'Mixmasters,P_707306
131,3,Poker Face,Sabrina [PH],P_143322
131,4,Poker Face,The ReBeatles Project,P_125847
131,5,Poker Face,The Baseballs,P_140237
131,6,Poker Face,Meg Pfeiffer,P_344759
131,7,Pokerface,Hurra Torpedo,P_521717
131,8,Poker Face,Pimpi Arroyo,P_195972
131,9,Poker Face,Idina Menzel,P_646724
131,10,Poker Face,Vitamin String Quartet,P_735467
131,11,Poker Face,Piano Tribute Players,P_679878
131,12,Poker Face,Larry Kenzal,P_687040
132,0,Get Lucky,Daft Punk feat. Pharrell Williams,P_272793
132,1,Get Lucky,JB Craipeau,P_272964
132,2,Get Lucky,Daniel & Ricardo Muñoz,P_280343
132,3,Get Lucky,Ali Brustofski,P_450934
132,4,Get Lucky,The Stepkids,P_280159
132,5,Get Lucky,"Andy Lange, Chester See, Andrew Garcia & Josh Golden",P_572787
132,6,Get Lucky,Jason Chen,P_518029
132,7,Get Lucky,Halestorm,P_288107
132,8,Get Lucky,San Cisco,P_290520
132,9,Get Lucky,Daughter,P_291445
132,10,Get Lucky,Piano Tribute Players,P_681267
132,11,Get Lucky,Vitamin String Quartet,P_728207
132,12,Get Lucky,The Cairn String Quartet,P_675449
133,0,Fritiof och Carmencita,Sven-Bertil Taube,P_551702
134,0,Photograph,Ed Sheeran,P_370607
134,1,Photograph,Andy Lange & Chester See,P_572960
134,2,Photograph,Madilyn Bailey - Peter Hollens,P_441098
134,3,Photograph,Evynne Hollens - Joshua David Evans,P_459407
134,4,Photograph,Haley Klinkhammer - Fast Forward Music,P_702954
134,5,Photograph,Ali,P_594168
134,6,Photograph,Boyce Avenue feat. Bea Miller,P_562222
134,7,Photograph,Corey Gray,P_567899
134,8,Photograph,Nick Pitera,P_507805
134,9,Photograph,Sam Tsui,P_486284
134,10,Photograph,Daniel Jang,P_592560
134,11,Photograph,Vitamin String Quartet,P_657433
134,12,Photograph,Simply Three,P_593532
135,0,De nære ting,Elisabeth Andreassen,P_529002
136,0,7 Years,Lukas Graham,P_468201
136,1,7 Years,Travis Atreo,P_553656
136,2,7 Years,Ryan Dolan,P_542673
136,3,7 Years,Sam Tsui,P_487499
136,4,7 Years,Ben Schuller,P_541290
136,5,7 Years,Joseph Vincent,P_468207
136,6,7 Years,Adam Christopher,P_682645
136,7,7 Years,Madilyn Bailey feat. Josh Evans,P_509666
136,8,7 Years,Jasmine Thompson,P_513954
136,9,7 Years,Ali x Dana Williams,P_594137
136,10,7 Years,Brooklyn Duo,P_518490
136,11,7 Years,Piano Dreamers,P_737040
136,12,7 Years,Jeremy Green,P_593008
137,0,Blank Space,T.S.,P_351798
137,1,Blank Space,Tyler Ward,P_351799
137,2,Blank Space,Caitlin Hart & PopGun,P_559611
137,3,Blank Space,Alisha Popat - Ana Free,P_573068
137,4,Blank Space,Alexi Blue,P_364228
137,5,Blank Space,Alyssa Bernal,P_660151
137,6,Blank Space,Travis Atreo,P_553370
137,7,Blank Space,Gaby Ramirez,P_567629
137,8,Blank Space,Jonathan Young,P_563875
137,9,Blank Space,Scott Bradlee's Postmodern Jukebox ft. Ariana Savalas,P_398780
137,10,Blank Space,Brooklyn Duo,P_400098
137,11,Blank Space,Piano Tribute Players,P_685493
137,12,Blank Space,Daniel Jang,P_592553
138,0,Hotline Bling,Drake,P_450060
139,0,The Trooper,Iron Maiden,P_2271
139,1,The Trooper,Sentenced,P_41309
139,2,The Trooper,Lord Belial,P_138614
139,3,The Trooper,Vital Remains,P_2283
139,4,The Trooper,Diphtheria,P_767681
139,5,The Trooper,Easy Rider,P_227244
139,6,The Trooper,Thumper,P_13513
139,7,The Trooper,Frozen Sun,P_761225
139,8,The Trooper,Rage [DE1],P_26212
139,9,The Trooper,Höyry-Kone,P_755755
139,10,IMV/The Trooper,Alex Skolnick Trio,P_211170
139,11,The Trooper,The String Tribute Players,P_650689
139,12,The Trooper,Thomas Zwijsen,P_253273
140,0,Ain't It a Shame,Fats Domino,P_3441
141,0,Ela é Carioca,Walter Wanderley,P_713018
141,1,Ela é Carioca,João Gilberto,P_331239
141,2,Ela é Carioca,Joyce,P_416460
141,3,Ela é Carioca,Quarteto Jobim-Morelenbaum,P_419256
141,4,Ela é Carioca,Cris Delanno,P_64656
141,5,Ela é Carioca,Rosana Eckert,P_790240
141,6,Ela é Carioca,Lilly Abreu & Cuarteto Latinoamericano,P_750191
141,7,Ela é Carioca,Gretchen Parlato,P_321973
141,8,Ela é Carioca,Maúcha Adnet,P_454414
141,9,Ela é Carioca,Till Brönner featuring Sérgio Mendes,P_766724
141,10,Ela é carioca,Sergio Mendes & Bossa Rio,P_235598
141,11,Ela é Carioca,Eumir Deodato,P_417570
141,12,Ela é Carioca,Paul Winter with Roberto Menescal,P_753202
142,0,See You Again,Wiz Khalifa featuring Charlie Puth,P_446734
142,1,See You Again,Ben Woodward,P_542857
142,2,See You Again,Tyler Ward,P_446916
142,3,See You Again,Travis Atreo,P_553497
142,4,See You Again,Ali,P_594174
142,5,See You Again,The Acapella Producer,P_459136
142,6,See You Again,Ruben Colaci,P_702435
142,7,See You Again,Tanner Patrick feat. Rajiv Dhall,P_591547
142,8,See You Again,Future Sunsets,P_599382
142,9,See You Again,Nicole Cross,P_681032
142,10,See You Again,Piano Dreamers,P_726253
142,11,See You Again,Daniel Jang,P_592561
142,12,See You Again,James Cline,P_676780
143,0,Bette Davis Eyes,Jackie De Shannon,P_1270
144,0,Eight Miles High,The Byrds,P_1278
144,1,Eight Miles High,Leo Kottke,P_14414
144,2,Eight Miles High,Roxy Music,P_1279
144,3,Eight Miles High,Hüsker Dü,P_71011
144,4,Eight Miles High,Shockabilly,P_116816
144,5,8 Miles High,Eugene Chadbourne,P_99285
144,6,Eight Miles High,Crowded House with Roger McGuinn (Byrdhouse),P_37227
144,7,Eight Miles High,The Moffs,P_136281
144,8,Eight Miles High,Ride,P_108376
144,9,8 Miles High,Dave Stewart & Barbara Gaskin,P_33612
144,10,Eight Miles High,The Ventures,P_161479
144,11,Eight Miles High,The Folkswingers featuring Harihar Rao,P_367288
144,12,Eight Miles High,The Soulful Strings,P_145078
145,0,I Was Made to Love Her,Stevie Wonder,P_8824
145,1,I Was Made to Love Her,The Beach Boys,P_44977
145,2,I Was Made to Love Her,Tom Jones,P_81816
145,3,I Was Made to Love Her,Jackie Wilson and Count Basie,P_138719
145,4,I Was Made to Love Her,Jr. Walker & The All Stars,P_275271
145,5,I Was Made to Love Her,The Bar-Kays,P_407629
145,6,I Was Made to Love Him,Chaka Khan,P_52896
145,7,I Was Made to Love Her,The Jackson 5,P_170134
145,8,I Was Made to Love Him,Whitney Houston,P_644518
145,9,I Was Made to Love Her,Jimmy Barnes,P_588213
145,10,I Was Made to Love Her,The John Schroeder Orchestra,P_432662
145,11,I Was Made to Love Her,King Curtis & The Kingpins,P_40727
145,12,I Was Made to Love Her,The San Remo Golden Strings,P_422817
146,0,I Could Have Told You,Bob Dylan,P_530950
147,0,Do It Again,Kings Road,P_535145
147,1,Do It Again,Deodato,P_89098
147,2,Do It Again,Richie Havens,P_22557
147,3,Do It Again,Waylon Jennings,P_104689
147,4,Do It Again,Paul Hardcastle,P_401786
147,5,Do It Again,Lana Lane,P_248516
147,6,Do It Again,Tori Amos,P_22559
147,7,Do It Again,Eduardo Braga,P_449857
147,8,Do It Again,Smoma,P_195879
147,9,Do It Again,Maria Eliza,P_648131
147,10,Do It Again,Dave Valentin,P_37559
147,11,Do It Again,Bonfiglio,P_757129
147,12,Do It Again,Bill Cunliffe,P_624586
148,0,Miss You,Dani Wilde,P_285880
149,0,A Thousand Years,Christina Perri,P_288542
149,1,A Thousand Years,Alex G & Jake Coco,P_661666
149,2,A Thousand Years,Sabrina [PH],P_644799
149,3,A Thousand Years,Gardiner Sisters,P_469842
149,4,A Thousand Years,Celia Pavey,P_662700
149,5,Thousand Years,Peter & Evynne Hollens feat. Lindsey Stirling,P_440153
149,6,Thousand Years,Julia Westlin,P_447189
149,7,A Thousand Years,Boyce Avenue,P_288543
149,8,A Thousand Years,Jasmine Thompson,P_321141
149,9,A Thousand Years,John Barrowman,P_483260
149,10,A Thousand Years,The Piano Guys,P_290370
149,11,A Thousand Years,Eric Wuest,P_675881
149,12,A Thousand Years,The Cairn String Quartet,P_675488
150,0,You'd Better Love Me,Jeff Hackworth,P_572116
151,0,Get Up Stand Up,Sawa,P_59480
152,0,I Wonder Where You Are Tonight,Waylon Jennings,P_388306
153,0,Don't Stop 'Til You Get Enough,Michael Jackson,P_77153
153,1,Don't Stop Till You Get Enough,Derrick Laro & Trinity,P_755285
153,2,Don't Stop 'Til You Get Enough,The Jacksons,P_494866
153,3,Don't Stop 'Til You Get Enough,Jayne Kennedy,P_310729
153,4,Don't Stop 'Til You Get Enough,James Chance & The Contortions,P_77154
153,5,Don't Stop 'Til You Get Enough,Melissa Ellen,P_77156
153,6,Don't Stop 'Til You Get Enough,Cris Delanno,P_449522
153,7,Don't Stop Till You Get Enough,Fairy Scapes,P_641646
153,8,Don't Stop 'Til You Get Enough,Sixth Finger featuring Alanah Woods,P_515422
153,9,Don't Stop 'Til You Get Enough,Robbie Fulks,P_619771
153,10,Don't Stop (Till You Get Enough),The Sunset Lounge Orchestra,P_664592
153,11,Don't Stop 'Til You Get Enough,Vitamin String Quartet,P_716073
153,12,Don't Stop 'Til You Get Enough,The Lullaby Players,P_515358
154,0,Salt Peanuts,The Pointer Sisters,P_444647
155,0,Room Full of Roses,Ken Carson and The Choraliers,P_327160
156,0,Sorry,The Nor'easters,P_587006
157,0,No Regrets,Cécile McLorin Salvant et le Jean-Francois Bonnel Paris Quintet,P_458528
158,0,Skyfall,Adele,P_295487
158,1,Skyfall,Roomie & Jonas Frisk,P_533864
158,2,Skyfall,Eli Lieb,P_533851
158,3,Skyfall,Sam Tsui,P_483879
158,4,Skyfall,Barbara Straathof,P_718473
158,5,Skyfall,Madilyn Bailey,P_296540
158,6,Skyfall,Jaimee Paul,P_324634
158,7,Skyfall,HelenaMaria feat. Ronnie Day,P_295488
158,8,Skyfall,Amber Carrington,P_685012
158,9,Skyfall,Corey Gray,P_566046
158,10,Skyfall,Piano Tribute Players,P_680717
158,11,Skyfall,Ely Jaffe,P_591387
158,12,Skyfall,European Ensemble Strings,P_716542
159,0,Silver Threads Among the Gold,Elsie Baker,P_456979
160,0,Black or White - Americanos,Caetano Veloso,P_633883
160,1,Black or White,Badesalz,P_173394
160,2,Black or White,Dick Brave & The Backbeats,P_10932
160,3,Black or White,Adam Lambert,P_728254
160,4,Black or White,Joana Duah,P_514725
160,5,Black or White,Micheller Myrtill & Pintér Tibor,P_783315
160,6,Black or White,Watching Colours feat. Claudette,P_515412
160,7,Black or White,Robbie Fulks,P_619766
160,8,Black or White,Thrill Collins,P_167232
160,9,Black or White,Prebens Pågar,P_746783
160,10,Black or White,Sweet Little Band,P_527204
160,11,Black or White,Vitamin String Quartet,P_716072
160,12,Black or White,The Lullaby Players,P_515359
161,0,Libertango,BR6,P_751771
162,0,"Hold Me, Thrill Me, Kiss Me",John Lloyd Young,P_632372
163,0,Shortnin' Bread,The Cramps,P_109324
164,0,Sara Smile,Impact,P_372448
164,1,Sara Smile,Eric Gale,P_288724
164,2,Sara Smile,Reginald Haynes,P_429597
164,3,Sarah Smile,Lenny Williams,P_611661
164,4,Sara Smile,Boney James,P_105142
164,5,Sara Smile,After 7,P_372457
164,6,Sara Smile,Boyz II Men,P_224251
164,7,Sara Smile,Joan Osborne,P_105233
164,8,Sara Smile,Jimmy Wayne,P_249067
164,9,Sara Smile,The Bird and the Bee,P_121297
164,10,Sara Smile,Mike Mainieri,P_570267
164,11,Sara Smile,Alex Bugnon,P_484639
164,12,Sara Smile,Thom Douvan,P_763124
165,0,If I Ain't Got You,Alicia Keys,P_112319
166,0,Were You There,Roland Hayes,P_408353
166,1,Were You There,Bill Monroe and His Blue Grass Boys,P_408336
166,2,Were You There?,Wings Over Jordan,P_556623
166,3,Were You There When They Crucified My Lord,Roy Acuff and His Smoky Mountain Boys,P_351300
166,4,Were You There When They Crucified My Lord?,Sister Rosetta Tharpe with Rosette Gospel Singers,P_352104
166,5,Were You There (When They Crucified My Lord),Johnny Cash and The Carter Family,P_351373
166,6,Were You There When They Crucified My Lord,Max Roach and The J. C. White Singers,P_351380
166,7,Were You There When They Crucified My Lord?,Jessye Norman,P_609804
166,8,Were You There When They Crucified My Lord?,Diamanda Galás,P_351301
166,9,Were You There?,Randy Travis,P_755217
166,10,Were You There,Percy Faith,P_531377
166,11,Were You There,Chet Atkins,P_733281
166,12,They Crucified My Lord,"Arne Domnérus, Gustaf Sjökvist, Rune Gustafsson",P_774855
167,0,The End,Loose Salute,P_270192
168,0,Come See About Me,The Supremes,P_42117
168,1,Come See About Me,Nella Dodds,P_81804
168,2,Come See About Me,Barbara Mason,P_122031
168,3,Come See About Me,Mitch Ryder and The Detroit Wheels,P_546359
168,4,Come See About Me,Group Therapy,P_254170
168,5,Come See About Me,The Moppets,P_451397
168,6,Come See About Me,Jane Aire and the Belvederes,P_232531
168,7,Come See About Me,Martha Reeves,P_538100
168,8,Come See About Me,Neil Sedaka with Mary Wilson,P_442204
168,9,Come See About Me,Shakin' Stevens,P_91806
168,10,Come See About Me,Enoch Light and The Light Brigade,P_392896
168,11,Come See About Me,Earl Van Dyke and The Soul Brothers,P_265916
168,12,Come See About Me,Those Fantabulous Strings,P_394022
169,0,Por Causa de Você,Silvia Telles,P_270939
169,1,Por Causa de Você,Dolores Duran,P_270941
169,2,Por Causa de Você,Agostinho dos Santos,P_443601
169,3,Por Causa de Você,Maysa,P_270940
169,4,Por Causa de Você,Maria Creuza,P_416422
169,5,Por Causa de Você,Nara Leão,P_652915
169,6,Por Causa de Você,Tito Madi,P_770330
169,7,Por Causa de Você,Gal Costa,P_419736
169,8,Por Causa de Você,Paula Toller,P_479405
169,9,Por Causa de Você,Phil Woods & Barbara Casini featuring Stefano Bollani,P_747090
169,10,Por Causa de Você,"Luiz Arruda Paes, Seu Côro e Sua Orquestra",P_750127
169,11,Por Causa de Você,Paulinho Nogueira,P_419710
169,12,Don't Ever Go Away (Por Causa de Você),Eliane Elias,P_271451
170,0,Modinha,Nana Caymmi,P_751897
170,1,Modinha,Antônio Carlos Jobim,P_419043
170,2,Modinha,Maria Bethânia,P_419220
170,3,Modinha,Stuart Moxham & Ana da Silva,P_419059
170,4,Modinha,Olivia Byington,P_771428
170,5,Modinha,Riccardo Arrighini encontra Barbara Casini & Fabrizio Bosso,P_795617
170,6,Modinha,Lilly Abreu,P_750171
170,7,Modinha,Tricia Evy,P_449108
170,8,Modinha,Chitãozinho & Xororó,P_757597
170,9,Modinha,Indiana Nomma - Osmar Milito,P_590082
170,10,Modinha,Raphael Rabello,P_636735
170,11,Modinha,Joe Henderson,P_419045
170,12,Modinha,Aaron Goldberg,P_419226
171,0,It Never Was You,Norma Winstone,P_557190
172,0,Pretty Flamingo,Manfred Mann,P_86221
173,0,Behind Blue Eyes,Pete Townshend,P_290973
173,1,Behind Blue Eyes,The Who,P_10129
173,2,Behind Blue Eyes,Jon English,P_288772
173,3,Behind Blue Eyes,Thunderhead,P_451539
173,4,Behind Blue Eyes,Sheryl Crow,P_18535
173,5,Behind Blue Eyes,Black Symphony,P_640414
173,6,Behind Blue Eyes,Pat DiNizio,P_185708
173,7,Behind Blue Eyes,Suzanne Vega,P_445537
173,8,Behind Blue Eyes,Mike Massé,P_289048
173,9,Behind Blue Eyes,Pat Travers,P_246856
173,10,Behind Blue Eyes,John Fremgen,P_779985
173,11,Behind Blue Eyes,Squeeze-bot,P_670015
173,12,Behind Blue Eyes,Julian & Roman Wasserfuhr,P_623744
174,0,No Surprises,Radiohead,P_22084
174,1,No Surprises,Luka Bloom,P_22086
174,2,No Surprises,Paige,P_22085
174,3,No Surprises,Easy Star All-Stars featuring The Meditations,P_67999
174,4,No Surprises,Marissa Nadler featuring Black Hole Infinity,P_158406
174,5,No Surprises,Camille O'Sullivan,P_172939
174,6,No Surprises,Peter Jöback,P_362948
